,URL,Unit_ID,No_Rooms,Bathroom,Locality,Region,Longitude,Latitude,Furnished,Area,AC,Water_Heater,Dining_Set,Electricity,Bed,Access_Card,Kitchen,Fridge,Washing_Machine,TV,ATM,TV_Cable,Grocery,Internet,Swim_Pool,Laundry,Security,Basketball,Multipurpose_Room,Gym,Jogging,Tennis,Restaurant,Playground,Total_Facilities,AnnualPrice,FurnishedNew
1608,https://jendela360.com/sewa-apartemen-signature-park-apartment/sipc008,sipc008,2,1,Tebet,Jakarta Selatan,106.854417,-6.242631,1,38,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,75600000,Full
1609,https://jendela360.com/sewa-apartemen-taman-melati-margonda-apartment/tmmb004,tmmb004,1,1,Margonda,Depok,106.832472,-6.360354,1,25,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,15,72000000,Full
1610,https://jendela360.com/sewa-apartemen-saladdin-mansion/slda004,slda004,0,1,Margonda,Depok,106.8241,-6.3929,1,21,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,12,24000000,Full
1611,https://jendela360.com/sewa-apartemen-callia-apartment/cald001,cald001,3,2,Kelapa Gading,Jakarta Timur,106.89321,-6.175884,0,74,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0,1,1,0,0,1,1,12,40000000,Non
1612,https://jendela360.com/sewa-apartemen-ciputra-international-puri/cipb004,cipb004,1,1,Puri Indah,Jakarta Barat,106.730093,-6.174074,1,44,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,14,65300000,Full
1613,https://jendela360.com/sewa-apartemen-puri-orchard-apartment/pucb023,pucb023,1,1,Cengkareng,Jakarta Barat,106.729326,-6.166036,1,35,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,20,48000000,Full
1614,https://jendela360.com/sewa-apartemen-poins-square-apartment/posc009,posc009,2,2,Lebak Bulus,Jakarta Selatan,106.77816,-6.289954,1,81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,23,150000000,Full
1615,https://jendela360.com/sewa-apartemen-the-crest-west-vista-puri/wvpa002,wvpa002,0,1,Puri Indah,Jakarta Barat,106.7267,-6.1577,0,34,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,10,30000000,Non
1616,https://jendela360.com/sewa-apartemen-mediterania-garden-residence-2/mg2c047,mg2c047,2,1,Tanjung Duren,Jakarta Barat,106.788166,-6.175894,1,42,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,50000000,Full
1617,https://jendela360.com/sewa-apartemen-casa-de-parco-apartment/cdpb008,cdpb008,1,1,BSD City,Tangerang,106.652113,-6.3064,1,40,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,18,50000000,Full
1618,https://jendela360.com/sewa-apartemen-the-mansion-kemayoran-bougenville/tmbb011,tmbb011,1,1,Kemayoran,Jakarta Pusat,106.85716,-6.14607,0,43,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,17,60000000,Non
1619,https://jendela360.com/sewa-apartemen-residence-8-senopati/re8b033,re8b033,1,1,Senopati,Jakarta Selatan,106.806005,-6.228974,1,76,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,23,210000000,Full
1620,https://jendela360.com/sewa-apartemen-graha-cempaka-apartment/gcmc005,gcmc005,2,2,Kemayoran,Jakarta Pusat,106.875693,-6.164743,1,74,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,22,50000000,Full
1621,https://jendela360.com/sewa-apartemen-tamansari-semanggi-apartment/tssa012,tssa012,0,1,Semanggi,Jakarta Selatan,106.819159,-6.226598,1,35,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,72000000,Full
1622,https://jendela360.com/sewa-apartemen-elpis-residence-apartment/epsa004,epsa004,0,1,Gunung Sahari,Jakarta Pusat,106.836638,-6.148474,0,27,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,14,42000000,Non
1623,https://jendela360.com/sewa-apartemen-gading-icon-apartment/gdia013,gdia013,0,1,Kelapa Gading,Jakarta Timur,106.904441,-6.181255,1,21,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,19,21250000,Full
1624,https://jendela360.com/sewa-apartemen-central-park-apartment/cepd004,cepd004,3,2,Tanjung Duren,Jakarta Barat,106.789934,-6.178351,0,150,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,230000000,Non
1625,https://jendela360.com/sewa-apartemen-green-pramuka-city-apartment/gprc011,gprc011,2,1,Cempaka Putih,Jakarta Pusat,106.873191,-6.187929,1,33,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,19,60000000,Full
