,RFR_RMSE,RFR_R2,XGB_RMSE,XGB_R2,LGB_RMSE,LGB_R2,AVG1_RMSE,AVG1_R2,AVG2_RMSE,AVG2_R2
309,30693820.286102396,0.9004425231578685,29850228.961627286,0.9058398107258048,29932646.71973347,0.9053191322941674,29159493.94857077,0.9101471297138594,29191461.823354036,0.909950008334723
310,31847072.16653046,0.8800530736145614,31107770.136732735,0.8855573614795686,29951821.274512988,0.8939045959992961,30299819.175163526,0.8914249162259793,29951769.84856177,0.8939049603212074
311,29166017.059037797,0.8913038136101227,30217571.630171824,0.8833246327106768,29213816.405907016,0.8909472435531741,28672636.16743965,0.894950182088166,29130905.292530894,0.8915653658019302
312,33629353.12709891,0.8583757189905329,32323856.078030303,0.8691580464704711,30944919.865014426,0.8800833698407288,31667099.61280024,0.8744209286066766,31222699.993880514,0.8779208200957003
313,30874764.098116327,0.8780961281026273,31278389.037624914,0.8748880025027572,31702626.561322313,0.8714711286728726,30467976.42346041,0.8812872336133001,31020940.401068676,0.8769390899282888
314,32831054.757579915,0.8921969122518345,34878531.80566257,0.8783315655527463,31519152.216507033,0.9006402283926478,32215303.88893616,0.8962027149242142,32628745.447289824,0.8935214125924331
315,30421632.565541822,0.8916988128428724,29855121.131913703,0.8956948242390987,30559455.4610356,0.8907152893853584,29500309.581482414,0.8981593104588096,29682004.69523256,0.896900954888012
316,29167014.272243775,0.9012246425333281,30037243.754501916,0.8952425738233902,29068888.987569418,0.9018881356281412,28524639.951818455,0.9055275878297051,28872124.39738665,0.9032118603927387
317,29904513.628982924,0.8932868503096909,30785789.39399953,0.8869045742559436,28612735.33947159,0.9023070537717285,28652988.743196495,0.9020319846649064,29095281.450513154,0.898984137326272
318,29352019.278679002,0.8768708164496986,29622009.471080862,0.8745952274940699,28303797.788996235,0.8855081804416618,28400108.373026695,0.8847276820268256,28404253.103250604,0.8846940337380772
319,35997248.67180089,0.8477230423027091,35627648.16084811,0.8508339859736863,34686890.65320462,0.8586075181517463,34352504.12984508,0.861320465196681,34627940.1051307,0.8590877042574756
320,31439253.519045167,0.8820278666920354,31525686.559597995,0.8813783152269444,30780904.26785466,0.8869168936887464,30478873.562023904,0.8891252110986306,30474975.553872753,0.8891535693116146
321,30507396.70689302,0.8729944785500517,31996520.28673347,0.8602931170145163,29905678.310113486,0.8779551051126708,29933658.697005022,0.8777266226919775,30359689.879938893,0.8742213396211735
322,30031384.065589994,0.8990348712016765,30029053.377989147,0.8990505420773152,28043073.06222404,0.9119616459756557,28366901.27003701,0.9099166555182067,28445400.41633406,0.9094173940774746
323,28910460.27984171,0.9060145940108676,29123815.416728966,0.9046222771518067,28895328.793122057,0.9061129505739353,28133954.464995142,0.9109954989205149,28442908.600080214,0.9090299525863308
324,31725449.26184616,0.889413820594214,32198590.95156709,0.886090741142413,30955032.804106615,0.894719526482122,31084755.165979292,0.8938352858965222,31172135.79884217,0.8932375794953469
325,32042569.253640547,0.8891259228223501,31965158.16079184,0.8896609932653375,31308234.412299573,0.8941495987748791,31003350.434593875,0.8962011329411549,30952214.22782924,0.8965432574474546
326,30355836.171600733,0.8857128155684897,29683615.679104358,0.8907184784687638,28609092.060935464,0.8984870886180762,28672277.42222985,0.8980381954469396,28728653.191929895,0.8976368442607839
327,27906460.20114234,0.8974136793159876,29150501.24885612,0.8880634276495832,27513836.70072534,0.9002800020546112,27498851.7848094,0.90038859387915,27807271.272625044,0.8981416357614627
328,27382341.323566675,0.9164153506153729,28360452.624090012,0.9103373271153754,27266455.84329322,0.9171213348422591,26955184.546951227,0.9190028039520337,27264167.09022928,0.9171352479697035
329,28483117.62791784,0.8971821971843769,28880082.983802427,0.8942963106374633,27877567.239449527,0.9015075328963141,27456205.831546977,0.9044624024504208,27740971.167150617,0.9024703660935485
330,29483192.110174764,0.8984582719277173,30791297.452606164,0.8892480137113239,29913964.272940487,0.895469389511824,29356041.946503792,0.8993322076261602,29815025.233304117,0.8961597062493498
331,29197034.54896753,0.8960605490072819,31031554.70701236,0.8825886719767332,28089694.621963315,0.9037951500445531,28464484.508593675,0.901210775245594,28927411.077563025,0.8979713675661045
332,33730818.494764484,0.859425873758991,32726778.294900507,0.8676700518973164,32171468.296351507,0.8721227175943709,31994489.446999945,0.8735257822402436,32025760.999224376,0.8732784285232004
333,32623767.280569352,0.8706947882765149,31948764.368653435,0.8759902187341221,31530860.636263493,0.879213204677289,31314727.56854581,0.8808634321844679,31326617.139174104,0.8807729475050594
334,29638243.404402208,0.9018393998276566,29084646.493094,0.9054721318556048,29061105.728404768,0.9056250893792507,28367805.83773697,0.9100743106146902,28473749.073726036,0.9094013781695504
335,29601067.115797736,0.883423310963021,29489175.87774048,0.8843029587945881,28494854.559292484,0.8919736081723332,28357388.791632533,0.893013382641021,28369660.567021195,0.8929207648169832
336,28738238.21445594,0.906863742397247,27902469.364066716,0.9122021699481463,27574047.734096892,0.9142568274689108,27319134.511026185,0.9158348357384167,27180992.44336239,0.9166838636512159
337,29864143.904171668,0.888533511144772,30215140.748457715,0.885897955761431,28618436.73973115,0.8976386520823159,28787713.05955103,0.8964241484708919,28939801.09594705,0.8953268567783549
338,31573156.99382955,0.8975642715047285,31865832.156998273,0.8956563629048746,31070919.78473244,0.9007972613491338,30734464.2716279,0.9029340885362768,30906975.733156,0.9018413753788591
339,28570128.998924024,0.8948595714237779,28987343.36131528,0.8917663835114125,29610027.170552894,0.8870664572734298,28379252.700436357,0.8962597594458261,28777997.629515946,0.8933240583062031
340,32512568.779121075,0.8640145494011644,32542824.59962475,0.8637613386631078,32361597.17865987,0.8652745098814676,31692639.73724952,0.8707868528107942,31892343.293419067,0.8691533110743022
341,29485117.522515092,0.8994702389111031,29297036.64027194,0.9007486751562128,28745789.769611426,0.9044485208660455,28263941.433661323,0.907625016633617,28431658.528484527,0.9065254650443706
342,26546185.694982648,0.9154426299854527,26236361.60589485,0.9174048727558798,25418660.871299382,0.9224730775265833,25045881.212660372,0.9247303591901539,25088679.88154094,0.9244728962706195
343,29454139.502742037,0.9025615273136033,29689599.389619913,0.9009974309872397,29684109.306045182,0.9010340419308183,28768246.295090806,0.9070467528784069,29064463.915095765,0.9051226768786085
344,30477003.1569984,0.8881268357419476,30267039.24520835,0.8896629720256733,29813486.96622319,0.8929450015472852,29271563.519717958,0.8968015336793893,29323685.94628652,0.8964336856484244
345,27305312.088756897,0.898245579314778,27872493.27439378,0.8939744252643628,26679610.52432605,0.9028555559116608,26638439.24962259,0.9031551460860651,26804755.57434938,0.9019420748966887
346,25710706.714600425,0.916134349557128,24901063.412080906,0.9213331284315718,24996407.037716687,0.920729560324335,24363344.043551084,0.9246939467402024,24330922.544438537,0.9248942403123146
347,29413728.211763605,0.8892450896082158,29493072.388714314,0.8886467560866143,29109116.074542016,0.8915271938003139,28629466.596035924,0.8950724933482095,28863323.92069748,0.893351309724863
348,33108454.03136762,0.8671239805385015,32660969.2738237,0.8706915388931704,32121790.885464165,0.8749256351712762,31836405.068041936,0.8771382070936788,31928567.480539575,0.8764258384141889
349,31157111.78649943,0.8932907723062905,31687346.520725325,0.8896278917854158,30119701.270535108,0.9002784748237058,30155868.222461633,0.9000388450249591,30390491.784641914,0.8984773260900618
350,30969442.60204914,0.8957282120090851,30815205.881943673,0.8967642326410664,29043919.260281477,0.9082913111373193,29470662.403769083,0.9055765557764119,29312164.00186223,0.9065894763556936
351,34070105.65999641,0.8694559122436377,33744188.6545137,0.8719415538799018,33962764.504391834,0.8702771999209399,33241178.39153621,0.875730924070814,33389650.606343824,0.8746183456029841
352,32972819.22981316,0.8719219978026436,31441506.35304605,0.8835420687601219,31141081.641267464,0.8857569556541275,31006407.133628335,0.8867429430482444,30770885.44289201,0.8884569878249264
353,31224603.732953783,0.8911999170549255,32002672.080504365,0.8857101037675694,31182377.914991498,0.8914939842673331,30665231.571574982,0.8950631912321408,30912327.834262673,0.8933652447243441
354,32981772.579416066,0.880291471875568,33388448.320827767,0.8773211833626055,29448596.475329656,0.9045653011025488,30709320.17308199,0.8962190814635259,30523352.90332,0.8974722135184323
355,32448473.399685796,0.8948291559689835,32098183.219416995,0.897087595853722,31864818.93234992,0.8985785697997539,31358092.243231818,0.9017786074575435,31485274.44283118,0.9009802588069556
356,30542815.873074315,0.8933446554349831,31878895.159275286,0.8838093990499858,30550535.097323354,0.8932907376453982,30055921.840728234,0.896718013986454,30677297.955443908,0.8924033663276247
357,29236461.561879262,0.8985204392141778,29238954.20753056,0.8985031345640591,28358132.310359437,0.9045261999530494,28109849.79636668,0.9061906752820316,28160767.243519183,0.9058505199691874
358,32664474.021287546,0.8822248153884761,33263090.672831852,0.8778685103561876,31975447.941752408,0.8871411217534411,31750963.273967635,0.8887202179983841,31853703.141325727,0.8879988939111625
359,29140902.311305042,0.8880528122195113,28636844.893581174,0.8918920747706744,28015215.41515343,0.8965346025167025,27654888.681908038,0.8991789937935163,27730784.56845366,0.8986248494867345
360,28758175.966931287,0.8922436687346855,29510183.569821805,0.8865344701968696,28031055.384806287,0.8976237960359957,27944343.114033125,0.8982562047954845,28231564.663244713,0.8961539408469585
361,30096663.937115163,0.9064391304369673,31216956.641832836,0.899344234962183,30996682.33484588,0.9007597255305402,29861297.2607095,0.9078967673680766,30397535.789200153,0.9045591521775945
362,31293161.10841363,0.8776448435900343,30961964.375599656,0.8802210731627585,29144799.931020275,0.8938681923528596,29679565.90014632,0.8899377229426143,29555589.794370294,0.8908552965839904
363,30876596.96710022,0.8913039108482588,32214153.88032843,0.8816826270091234,29452780.825433835,0.9010974083996306,30053371.077846028,0.8970227124600411,30274866.693197995,0.8954992181602929
364,34129691.01144744,0.8776221755111006,34651087.51692955,0.8738545023722513,33627403.17968148,0.8811977468341928,33316633.736074563,0.8833834351154948,33577017.89332451,0.881553492478155
365,29446556.477626543,0.9006919876899209,30125807.368027788,0.896057621906732,29256302.0623737,0.901971101692684,28496068.29377403,0.9069995296184503,28870343.634497166,0.9045404977294805
366,31352693.913670234,0.8932589988485959,32254153.557711586,0.8870326749798271,31178485.708109893,0.8944418954267248,30727184.710640464,0.8974756348223597,31108101.005587127,0.8949179473876212
367,31572479.55638634,0.8887864972124349,32085267.190109335,0.885144589440294,31486105.392759573,0.8893941677970059,30913608.994384486,0.893379784211453,31236804.524755117,0.8911387447352327
368,36065885.382958986,0.8801884252948162,35520849.08863572,0.8837823051550433,34289687.69353322,0.8916989570032547,34446184.47642908,0.8907081377393222,34377138.691422895,0.8911458395975844
369,31983932.223802056,0.8858928773555798,31559675.47740087,0.8888999897915789,31211803.54739251,0.8913357290141226,30803997.194664236,0.8941567439384888,30882934.079243213,0.89361359093014
370,28672345.237139408,0.8939703608156021,27164249.707719997,0.9048308309987401,27051930.011551894,0.9056162215665196,26937850.51827907,0.9064105863721827,26588196.82533366,0.9088244022649452
371,29331123.775360644,0.9061160454357174,30692124.304030165,0.8972012423177612,29476953.708168358,0.905180170907873,29031748.729289435,0.9080227623793062,29558608.182528075,0.9046541201411027
372,31179570.091327336,0.891431761952967,31897393.825170383,0.8863752488261741,31324085.531159397,0.89042301505634,30656134.71937188,0.8950464009263137,31056223.726354294,0.8922890546671687
373,33434388.424951013,0.8849679766865146,33917477.869509,0.8816197937849011,31448217.637510546,0.8982289947584482,32167625.506831393,0.8935195201120821,32076033.05680358,0.8941250309669544
374,32248322.618448116,0.8783585401569067,31987670.23470237,0.8803169676885724,29746161.65789366,0.8965026496916642,30603203.340711962,0.8904528358235682,30359682.1843139,0.8921893149858737
375,29188353.505305238,0.90985813372874,29554492.201938853,0.9075824706514495,28341749.16887161,0.915011404806258,28028761.317106627,0.9168781575551247,27977034.215095807,0.9171846773095444
376,34039682.959444225,0.8799630102330877,32369692.766781706,0.8914521470522764,32238557.511935018,0.8923298580237548,32147673.755788367,0.8929360683861911,31781403.53765234,0.8953618076962968
377,31759470.9427014,0.8895498780195492,31908200.067372724,0.8885129832904286,31326863.331294313,0.8925383496019306,30665079.0631404,0.8970306766359152,30951398.042808186,0.8950988565236722
378,34721842.718215406,0.8829995635834239,34317629.88930008,0.8857078183044237,32226596.180046204,0.8992115364057198,32714728.068403862,0.89613515434033,32573909.027243994,0.8970273927936115
379,30930551.974079173,0.89157572120222,31276704.16224498,0.889135330686764,28470914.93842797,0.9081341603029262,29598650.249050923,0.9007123994804468,29206483.419455215,0.9033259885196261
380,33971367.25349898,0.8784834965747608,33667754.212112755,0.880645854548499,32494506.33595112,0.8888193781992114,32544802.704576593,0.8884749317113784,32529600.4551964,0.888579098016065
381,26854148.46873873,0.8982387249032485,29439284.37468334,0.8777034329390948,26627144.130188465,0.8999518766037102,26713720.62926504,0.8993002184387795,27482584.42507144,0.8934201976868763
382,30340251.80138122,0.8823227412298361,30097709.821828883,0.8841966606327812,28330753.148048792,0.8973945518398587,28708183.04573815,0.894642466492584,28704836.922302056,0.8946670252580144
383,34230226.59506273,0.8725253538251788,34315243.67088598,0.8718913539233456,33168704.237644788,0.8803090597560745,33016293.36905353,0.8814064971714669,33217094.198847137,0.8799595697800475
384,29419256.382281937,0.8879898277581254,29246872.17653111,0.8892986449311948,28205857.41914589,0.897039013415866,28093354.202988572,0.8978587254937688,28148592.11457426,0.8974566647469113
385,31198033.533810534,0.8920222065687584,30933393.492624015,0.893846299209358,30683381.53469859,0.8955552901176984,29980040.816635408,0.9002886843276119,30170758.77376443,0.8990160225582622
386,31198457.02750463,0.8945347691690153,31346207.78291592,0.8935334718453599,29969937.95208443,0.902677162263943,29881631.40450357,0.9032498416153186,30024270.355076715,0.9023239698915352
387,30965792.495158616,0.9019748177096989,31512675.08414017,0.8984818246222491,29144896.613122273,0.9131643022520641,29555837.157477606,0.9106982868650401,29581346.856465798,0.9105440673849468
388,27835392.79641879,0.9054715007358356,28558570.035458874,0.900495901214778,27401927.848769348,0.9083926560126521,26914105.021697193,0.9116253025138049,27148145.89609536,0.9100816345522158
389,31890507.46811891,0.8906104736481819,32915863.073462628,0.883463122965956,31488394.226283815,0.8933517067369341,31194853.34151468,0.8953308305727573,31633599.653691877,0.8923658440269295
390,32499251.06991713,0.8823505616035263,33189715.522596247,0.8772984038057877,30015131.297049783,0.8996485510936421,31193502.95833182,0.891614434478027,31134403.01645073,0.8920247450834148
391,28756708.56749834,0.9010460008489218,27995254.516294435,0.9062170609875994,27844733.05423765,0.9072228311311529,27409560.813516103,0.9101001117196466,27397273.875822574,0.9101806928536629
392,30532253.93182622,0.8971045719253972,30885496.606469646,0.8947099033368574,30851968.916056156,0.894938374178339,29663543.061082896,0.9028764848673017,30123580.600492775,0.8998406420706232
393,27157997.10604592,0.9153397120562496,27356762.324545536,0.9140959458397896,25908720.726619948,0.922949368009178,25779983.172433462,0.9237131776963557,25958383.477083344,0.9226536981627549
394,31841685.342848904,0.8889034813376396,31400059.804065518,0.891963798115751,31072316.354332607,0.8942073204782407,30548537.47720052,0.897743905060445,30689848.93085017,0.8967956842990008
395,31097940.914668936,0.8774784339832176,32224066.83673634,0.8684442089727465,31829775.58611574,0.8716439261897669,31097026.236121636,0.8774856412899784,31501027.826014563,0.8742816363424211
396,32058491.865596864,0.8841286525983639,31796246.72865879,0.8860166024581672,31251508.41420639,0.889888710189235,30945816.455026146,0.8920323193415529,31140259.754465148,0.8906712599491629
397,32990103.01317507,0.8899604941393559,34194511.14695884,0.8817791474724204,31932021.753150407,0.8969058265393086,31973953.246193826,0.8966348928069476,32324346.947729588,0.8943569801322169
398,31642945.81098067,0.8900808580123105,32983757.066811133,0.8805682596287453,31183590.449437164,0.8932490494900408,31145344.332700156,0.8935107451774091,31438851.089748118,0.8914942262999829
399,29510248.551760226,0.9066008789286403,32210239.328165036,0.8887282398422112,28045788.46162539,0.9156408174811725,28927415.08841311,0.9102537502837196,29469441.13563199,0.9068590090196393
400,32326709.54429986,0.8847105676281193,30523563.322796583,0.897213290714426,30647097.24269153,0.8963796174166027,30380711.699949022,0.8981731320638103,29962878.011680838,0.900954773154008
401,27969368.35259871,0.904198873506881,28227482.58810256,0.9024225206610066,27471176.36978548,0.9075813089912997,26921890.998765804,0.9112401781714017,27191255.016170565,0.9094551393613718
402,31114169.59438373,0.9030723913940158,32710232.634041913,0.8928731501249366,30468462.793535236,0.9070536893280545,30605752.707916524,0.9062141759907738,31172785.059248377,0.902706846787706
403,29369599.33047198,0.8989684301948876,30128125.721164547,0.8936823698916176,28809947.70597378,0.9027821533341748,28651559.114757825,0.9038481650157887,28830275.30128099,0.9026449158601719
404,31576699.305348407,0.8894162233623568,30791909.97192584,0.8948446891682708,30543669.45400214,0.896533352588624,30188584.89550147,0.8989250660267037,30052848.13413914,0.8998319479223552
405,30491014.975922696,0.8926579003237678,31995283.995191544,0.8818052293325092,30190831.816198107,0.8947610560841308,30041291.045990087,0.8958010100290875,30371775.29212053,0.8934958134580999
406,29643897.95911442,0.9030868926114398,29895033.2244677,0.9014378926863552,29178363.802889057,0.9061068802802772,28702812.981633916,0.9091424917686391,28860527.72963521,0.9081412702008991
407,32593047.389035765,0.8820808460988756,31583281.662794266,0.8892741749538945,31041634.04465775,0.8930394647746366,30917841.466561835,0.8938908708769582,30795614.043569684,0.8947281744374344
408,33695735.984276704,0.8782837499338311,33403456.619865954,0.8803861439851248,32139464.858996075,0.8892672838371658,32265084.48244089,0.8883999771332466,32163390.09633658,0.8891023593354911
409,29900986.55768373,0.8888829227609986,29601683.023924932,0.8910963134012945,28960748.340908892,0.8957612167110558,28715633.967400953,0.8975182361439602,28844377.998672828,0.8965972401242936
410,27379695.29631862,0.9098816123053899,30358792.759270307,0.8892037180162504,27415938.87245823,0.9096428679061199,27464120.41639633,0.9093249964903184,28228196.49151803,0.9042094966100074
411,28121825.52631706,0.9025503334051966,29762999.419425286,0.8908442217344767,27767008.777134735,0.9049938905661283,27604840.624395113,0.9061003816976163,28075181.396207314,0.9028733341488798
